transaction_id,account_id,customer_id,merchant_id,transaction_date,posted_date,amount,direction,category,description,signed_amount,transaction_month
TXN2001,ACC1001,CUST001,MER006,2026-01-03,2026-01-03,3250.0,credit,Income,January payroll,3250.0,2026-01
TXN2002,ACC1001,CUST001,MER001,2026-01-05,2026-01-06,142.38,debit,Groceries,Weekly groceries,-142.38,2026-01
TXN2003,ACC1002,CUST001,MER007,2026-01-09,2026-01-09,19.99,debit,Software,iCloud storage,-19.99,2026-01
TXN2004,ACC1003,CUST002,MER003,2026-01-10,2026-01-11,48.12,debit,Transportation,Gas refill,-48.12,2026-01
TXN2005,ACC1003,CUST002,MER005,2026-01-12,2026-01-12,15.49,debit,Subscriptions,Not provided,-15.49,2026-01
TXN2006,ACC1004,CUST003,MER008,2026-01-14,2026-01-15,36.5,debit,Entertainment,Movie night,-36.5,2026-01
TXN2007,ACC1005,CUST004,MER002,2026-01-16,2026-01-16,8.75,debit,Dining,Morning coffee,-8.75,2026-01
TXN2008,ACC1006,CUST005,MER004,2026-01-19,2026-01-20,425.6,debit,Travel,Flight to conference,-425.6,2026-01
TXN2009,ACC1001,CUST001,MER009,2026-02-02,2026-02-03,94.21,debit,Utilities,Electric bill,-94.21,2026-02
TXN2010,ACC1001,CUST001,MER001,2026-02-06,2026-02-06,156.04,debit,Groceries,Restock pantry,-156.04,2026-02
TXN2011,ACC1002,CUST001,MER005,2026-02-08,2026-02-08,15.49,debit,Subscriptions,Streaming renewal,-15.49,2026-02
TXN2012,ACC1003,CUST002,MER006,2026-02-15,2026-02-15,2800.0,credit,Income,Mid-month payroll,2800.0,2026-02
TXN2013,ACC1004,CUST003,MER007,2026-02-18,2026-02-18,4.99,debit,Software,App purchase,-4.99,2026-02
TXN2014,ACC1005,CUST004,MER003,2026-02-21,2026-02-21,52.63,debit,Transportation,Rideshare fuel,-52.63,2026-02
TXN2015,ACC1006,CUST005,MER001,2026-02-23,2026-02-24,88.1,debit,Groceries,Grocery pickup,-88.1,2026-02
TXN2016,ACC1001,CUST001,MER006,2026-03-03,2026-03-03,3250.0,credit,Income,March payroll,3250.0,2026-03
TXN2017,ACC1001,CUST001,MER002,2026-03-05,2026-03-05,12.4,debit,Dining,Coffee with client,-12.4,2026-03
TXN2018,ACC1003,CUST002,MER004,2026-03-09,2026-03-10,610.0,debit,Travel,Team offsite,-610.0,2026-03
TXN2019,ACC1004,CUST003,MER008,2026-03-12,2026-03-13,28.5,debit,Entertainment,Concert ticket,-28.5,2026-03
TXN2020,ACC1005,CUST004,MER005,2026-03-16,2026-03-16,15.49,debit,Subscriptions,Streaming plan,-15.49,2026-03
TXN2021,ACC1006,CUST005,MER009,2026-03-19,2026-03-20,102.87,debit,Utilities,Utility payment,-102.87,2026-03
TXN2022,ACC1003,CUST002,MER001,2026-04-01,2026-04-02,134.72,debit,Groceries,Family groceries,-134.72,2026-04
TXN2023,ACC1004,CUST003,MER006,2026-04-05,2026-04-05,2900.0,credit,Income,April payroll,2900.0,2026-04
TXN2024,ACC1005,CUST004,MER002,2026-04-08,2026-04-08,9.1,debit,Dining,Not provided,-9.1,2026-04
TXN2025,ACC1006,CUST005,MER007,2026-04-11,2026-04-11,29.99,debit,Software,Annual cloud storage,-29.99,2026-04
