Transaction ID,Account ID,Customer ID,Merchant ID,Transaction Date,Posted Date,Amount,Direction,Category,Description
TXN2001,ACC1001,CUST001,MER006,2026-01-03,2026-01-03,"3,250.00",credit,paycheck,January payroll
TXN2002,ACC1001,CUST001,MER001,2026-01-05,2026-01-06,142.38,debit,groceries,Weekly groceries
TXN2003,ACC1002,CUST001,MER007,2026-01-09,2026-01-09,19.99,debit,software,iCloud storage
TXN2004,ACC1003,CUST002,MER003,2026/01/10,2026-01-11,48.12,debit,Fuel,Gas refill
TXN2005,ACC1003,CUST002,MER005,01/12/2026,2026-01-12,15.49,debit,subscription,
TXN2006,ACC1004,CUST003,MER008,2026-01-14,2026-01-15,36.50,debit,Entertainment,Movie night
TXN2007,ACC1005,CUST004,MER002,2026-01-16,2026-01-16,8.75,debit,coffee shop,Morning coffee
TXN2008,ACC1006,CUST005,MER004,2026-01-19,2026-01-20,425.60,debit,travel,Flight to conference
TXN2009,ACC1001,CUST001,MER009,2026-02-02,2026-02-03,94.21,debit,utilities,Electric bill
TXN2010,ACC1001,CUST001,MER001,2026-02-06,2026-02-06,156.04,debit,Grocery,Restock pantry
TXN2011,ACC1002,CUST001,MER005,2026-02-08,2026-02-08,15.49,debit,Subscriptions,Streaming renewal
TXN2012,ACC1003,CUST002,MER006,2026-02-15,2026-02-15,2800.00,credit,Salary,Mid-month payroll
TXN2013,ACC1004,CUST003,MER007,2026-02-18,2026-02-18,4.99,debit,software,App purchase
TXN2014,ACC1005,CUST004,MER003,2026-02-21,2026-02-21,52.63,debit,gas,Rideshare fuel
TXN2015,ACC1006,CUST005,MER001,2026-02-23,2026-02-24,$88.10,debit, groceries ,Grocery pickup
TXN2016,ACC1001,CUST001,MER006,2026-03-03,2026-03-03,3250.00,credit,Income,March payroll
TXN2017,ACC1001,CUST001,MER002,2026-03-05,2026-03-05,12.40,debit,Dining,Coffee with client
TXN2018,ACC1003,CUST002,MER004,2026-03-09,2026-03-10,610.00,debit,Travel,Team offsite
TXN2019,ACC1004,CUST003,MER008,2026-03-12,2026-03-13,28.50,debit,entertainment,Concert ticket
TXN2020,ACC1005,CUST004,MER005,2026-03-16,2026-03-16,15.49,debit,subscription,Streaming plan
TXN2021,ACC1006,CUST005,MER009,2026-03-19,2026-03-20,102.87,debit,Utilities,Utility payment
TXN2022,ACC1003,CUST002,MER001,2026-04-01,2026-04-02,134.72,debit,Groceries,Family groceries
TXN2023,ACC1004,CUST003,MER006,2026-04-05,2026-04-05,2900.00,credit,paycheck,April payroll
TXN2024,ACC1005,CUST004,MER002,2026-04-08,2026-04-08,9.10,debit,coffee shop,
TXN2024,ACC1005,CUST004,MER002,2026-04-08,2026-04-08,9.10,debit,coffee shop,
TXN2025,ACC1006,CUST005,MER007,2026-04-11,2026-04-11,29.99,debit,Software,Annual cloud storage

